name,category,pid,price,image,description,rating,brand
"Plain Rectangular Polyester shaggy, for Home",Polyester Carpet,27,60.0,//5.imimg.com/data5/PL/VI/JE/ANDROID-1840220/1567527781503-jpg-500x500.jpg,"For the fulfillment of growing industry needs, we are presenting the superiority fabricated collection of Polyester Carpet.
Our Carpets are considered as the decorative item of the homes and offices and are admired for the fine stitching and attractive designs.
 
",3.8,JP2 Industries
"Silk Festive Wear Singal Akkat Patola Sarees, With Blouse Piece",Patola Sarees,28,9500.0,//5.imimg.com/data5/SELLER/Default/2021/2/MI/NK/CV/115639711/singal-akkat-patola-sarees-500x500.jpeg,"Singal akkat patola sarees            
",4.8,Hareshbhai Mulajibhai Parmar
650 ROWSILK PATOLA SAREE,Patola Sarees,29,895.0,//5.imimg.com/data5/HE/IQ/ID/SELLER-43239049/patola-saree-500x500.jpg,NEW RICH PATOLA SAREE WITH JARI VIVING BORDER AND BUTTIS EXCLUSIVE HEND PRINTING SAREES,4.2,Gaytri Family Shop
"Nivah Fashion Red,Green Box Panetar Patola Saree, 5.5, With Blouse Piece",Patola Sarees,30,2500.0,//5.imimg.com/data5/SELLER/Default/2021/10/OR/NB/XF/73084833/whatsapp-image-2021-08-23-at-12-16-53-pm-1--500x500.jpeg,Saree Fabric,4.3,Nivah Fashion
Knee Long Embroidered Saree And Kurta combo,Khadi Sarees,31,1000.0,//5.imimg.com/data5/RW/VB/NK/ANDROID-51875784/product-jpeg-500x500.jpg,"Khadi cotton applique work saree and kurta            
",3.7,Uttaran Shilpa Kutir
Festive Wear Multicolor row silk khadi cotton saree,Khadi Sarees,32,525.0,//5.imimg.com/data5/FL/YT/LP/SELLER-43239049/whatsapp-image-2020-03-12-at-2-55-11-pm-500x500.jpeg,Raw Silk Saree With Khadi Weaving Pallu,4.2,Gaytri Family Shop
"Party Wear Printed Women Khadi Cotton Silk Saree, 6.3 m (with blouse piece)",Khadi Silk Sarees,33,225.0,//5.imimg.com/data5/SELLER/Default/2020/9/PV/VZ/II/70773681/whatsapp-image-2020-09-11-at-4-02-00-pm-500x500.jpeg,Printed Khadi Silk Saree With Jhalor in Lowest Price With Best Qualtiy,3.8,M K Trading
"Golden Round Decorative glass pumpkin, For Decoration",Handicraft Items,34,450.0,//5.imimg.com/data5/ZP/YY/HM/ANDROID-46368975/prod-20200423-170901564061084688156210-jpg-500x500.jpg,"Glass Pumpkin These magical glass pumpkins make a statement all year round with their rich colors, fine details, and playfully coiled stems. Pair this hand blown glass            
",4.0,Alsa Glass Handicrafts
"Polished Embossed Dokra Painting Frame, Size: 8 X 10",Handicraft Items,35,1200.0,//5.imimg.com/data5/KO/PZ/UI/SELLER-292984/embossed-dokra-painting-frame-500x500.JPG,"Embossed Dokra Painting Frame offered by us is an ethnic brass craft originating in the eastern parts of India, which is produced by tribal craft society. We make use of handmade lost-wax techniques to produce dhokra brass metal crafts that can be availed in net and figure forms. In this range of brass metal crafts, we offer various gift forms to create photo frames, jewelry and figures, among others. 
",4.4,Pushpam Arts
Metal Handicraft Enamel Items for Decoration,Handicraft Items,36,149.0,//5.imimg.com/data5/HY/JE/QZ/SELLER-1012852/handicraft-enamel-items-500x500.jpg,"Metallic cheap good quality enamel items in all shapes and sizes. Prices mentioned are for a specific small size and vary. 
Additional Information  Item Code  BS-002A 
",3.8,Royal De Wajidsons
Glass Inkpots,Glass Handicrafts,37,185.0,//4.imimg.com/data4/IN/LD/MY-21085483/glass-inkpots-250x250.jpg,"Other Details:
Code: DC2200Max In Dia Cm: 7.5Height In Cm: 6MOQ In Pcs: 48Description: You can find a wide assortment of glass inkpots in multiple shapes and sizesThese are used as a luxury important business gift 
Additional Information  Item Code  Dc2200   Delivery Time  15-20 days   Port Of Dispatch  EX FACTORY   Production Capacity  1000   Packaging Details  Singal Pcs Export Packing   Payment Terms  T/T (Bank Transfer) 
",3.9,Dlite Crafts
